Локация;Цена;Цена за кв\м;аннотация;просмотры
3-комнатная, улица Днепровская 25 кор. 8;12 043 500 руб;155 000 руб/кв.м;Столетие, застройщик, 77,7 кв. м., 2/25 этаж Сдача в I кв. 2027;1792
2-комнатная, улица Невельского 4 стр. 2;9 490 850 руб;182 166 руб/кв.м;Луговая, застройщик, 52,1 кв. м., 3/21 этаж Сдача в I кв. 2027;2416
3-комнатная, улица Борисенко 100к;8 890 024 руб;163 721 руб/кв.м;Патрокл, застройщик, 54,3 кв. м., 5/30 этаж Сдача в IV кв. 2027;2978
1-комнатная, улица Нейбута 137 стр. 5;6 742 100 руб;214 717 руб/кв.м;64, 71 микрорайоны, застройщик, 31,4 кв. м., 12/17 этаж Сдача в IV кв. 2028;614
3-комнатная, улица Гамарника 18б;12 317 695 руб;201 599 руб/кв.м;Столетие, застройщик, 61,1 кв. м., 20/25 этаж Сдача в IV кв. 2025;567
2-комнатная, улица Новожилова 21;8 099 500 руб;174 558 руб/кв.м;Борисенко, застройщик, 46,4 кв. м., 11/29 этаж Сдача в IV кв. 2025;843
1-комнатная, улица Нейбута 137 стр. 5;5 954 700 руб;193 334 руб/кв.м;64, 71 микрорайоны, застройщик, 30,8 кв. м., 6/17 этаж Сдача в IV кв. 2028;30
1-комнатная, улица Новожилова 21;7 330 000 руб;178 780 руб/кв.м;Борисенко, застройщик, 41 кв. м., 13/29 этаж Сдача в IV кв. 2025;685
1-комнатная, улица Полковника Фесюна 17/1;4 503 000 руб;190 000 руб/кв.м;Снеговая падь, застройщик, 23,7 кв. м., 13/25 этаж Сдача в I кв. 2029;768
2-комнатная, улица Кизлярская 20;16 302 000 руб;260 000 руб/кв.м;Чуркин, застройщик, 62,7 кв. м., 3/22 этаж;2968
2-комнатная, улица Енисейская 9д;11 689 608 руб;212 153 руб/кв.м;Вторая речка, застройщик, 55,1 кв. м.;21844
1-комнатная, улица Басаргина 2 кор. 5;8 096 950 руб;241 700 руб/кв.м;Патрокл, застройщик, 33,5 кв. м., 9/17 этаж;5764
3-комнатная, улица Карбышева 22б;13 369 999 руб;168 388 руб/кв.м;БАМ, застройщик, 79,4 кв. м., 24/24 этаж;416
1-комнатная, улица Днепровская 25 кор. 8;7 025 200 руб;182 000 руб/кв.м;Столетие, застройщик, 38,6 кв. м., 3/17 этаж Сдача в I кв. 2027;1790
2-комнатная, улица Днепровская 25 кор. 8;9 899 000 руб;190 000 руб/кв.м;Столетие, застройщик, 52,1 кв. м., 9/17 этаж Сдача в I кв. 2027;198
Студия, улица Невельского 4 стр. 2;6 627 000 руб;235 000 руб/кв.м;Луговая, застройщик, 28,2 кв. м., 13/25 этаж Сдача в I кв. 2027;7175
4-комнатная, улица Невельского 4 стр. 2;13 534 300 руб;179 500 руб/кв.м;Луговая, застройщик, 75,4 кв. м., 12/25 этаж Сдача в I кв. 2027;7034
3-комнатная, улица Садгородская 28в кор. 3;10 357 997 руб;151 877 руб/кв.м;Садгород, застройщик, 68,2 кв. м., 1/4 этаж;2781
2-комнатная, улица Крылова 10;15 155 644 руб;249 681 руб/кв.м;Некрасовская, застройщик, 60,7 кв. м., 10/23 этаж Сдача в I кв. 2027;382
1-комнатная, улица Нейбута 143 кор. 4;7 438 500 руб;171 000 руб/кв.м;64, 71 микрорайоны, застройщик, 43,5 кв. м., 11/30 этаж Сдача в IV кв. 2029;912
1-комнатная, улица Расула Гамзатова 5 кор. 2/1;5 528 200 руб;231 305 руб/кв.м;64, 71 микрорайоны, застройщик, 23,9 кв. м., 18/24 этаж;1953
3-комнатная, улица Расула Гамзатова 5 кор. 3;12 356 760 руб;158 420 руб/кв.м;64, 71 микрорайоны, застройщик, 78 кв. м., 5/14 этаж;870
2-комнатная, улица Расула Гамзатова 5 кор. 1/3;7 553 875 руб;155 750 руб/кв.м;64, 71 микрорайоны, застройщик, 48,5 кв. м., 1/24 этаж;3907
Студия, улица Расула Гамзатова 5 кор. 2/1;5 528 200 руб;211 000 руб/кв.м;64, 71 микрорайоны, застройщик, 26,2 кв. м., 19/24 этаж;400
2-комнатная, улица Анны Щетининой 7/1;9 001 200 руб;156 000 руб/кв.м;Снеговая падь, застройщик, 57,7 кв. м., 16/25 этаж;4862
