Локация;Цена;Цена за кв\м;аннотация;просмотры
3-комнатная, улица Гамарника 18б;12 317 695 руб;201 599 руб/кв.м;Столетие, застройщик, 61,1 кв. м., 20/25 этаж Сдача в IV кв. 2025;676
2-комнатная, улица Капитана Шефнера 23;12 499 650 руб;234 956 руб/кв.м;Центр, застройщик, 53,2 кв. м., 7/7 этаж Сдача в II кв. 2026;463
1-комнатная, улица Нейбута 137 стр. 2;6 655 000 руб;185 376 руб/кв.м;64, 71 микрорайоны, застройщик, 35,9 кв. м., 13/25 этаж;3701
1-комнатная, улица Новожилова 21;7 280 000 руб;178 431 руб/кв.м;Борисенко, застройщик, 40,8 кв. м., 2/29 этаж;90
2-комнатная, улица Новожилова 21;8 099 500 руб;174 558 руб/кв.м;Борисенко, застройщик, 46,4 кв. м., 11/29 этаж Сдача в IV кв. 2025;1079
2-комнатная, улица Пржевальского 5 кор. 4;8 681 400 руб;148 400 руб/кв.м;Снеговая, застройщик, 58,5 кв. м., 10/23 этаж;10935
3-комнатная, улица Нейбута 137 стр. 1;9 601 000 руб;177 140 руб/кв.м;64, 71 микрорайоны, застройщик, 54,2 кв. м., 13/25 этаж Сдача в III кв. 2026;3914
2-комнатная, улица Анны Щетининой 7/1;7 253 400 руб;157 000 руб/кв.м;Снеговая падь, застройщик, 46,2 кв. м., 14/25 этаж Сдача в II кв. 2026;8339
Студия, улица Анны Щетининой 7/1;6 044 600 руб;196 253 руб/кв.м;Снеговая падь, застройщик, 30,8 кв. м., 17/25 этаж Сдача в II кв. 2026;4834
4-комнатная, улица Анны Щетининой 7/1;12 583 600 руб;163 000 руб/кв.м;Снеговая падь, застройщик, 77,2 кв. м., 20/25 этаж Сдача в II кв. 2026;6714
1-комнатная, улица Днепровская 25 кор. 8;7 025 200 руб;182 000 руб/кв.м;Столетие, застройщик, 38,6 кв. м., 3/17 этаж Сдача в I кв. 2027;1966
3-комнатная, улица Днепровская 25 кор. 8;12 043 500 руб;155 000 руб/кв.м;Столетие, застройщик, 77,7 кв. м., 2/25 этаж Сдача в I кв. 2027;1955
2-комнатная, улица Днепровская 25 кор. 8;9 412 200 руб;166 000 руб/кв.м;Столетие, застройщик, 56,7 кв. м., 4/25 этаж Сдача в I кв. 2027;899
4-комнатная, проспект 100-летия Владивостока 165;11 374 051 руб;199 195 руб/кв.м;Заря, застройщик, 57,1 кв. м., 2/22 этаж;6764
2-комнатная, улица Невельского 4 стр. 2;9 490 850 руб;182 166 руб/кв.м;Луговая, застройщик, 52,1 кв. м., 3/21 этаж Сдача в I кв. 2027;2505
3-комнатная, улица Невельского 4 стр. 2;12 398 500 руб;181 000 руб/кв.м;Луговая, застройщик, 68,5 кв. м., 9/25 этаж Сдача в I кв. 2027;674
3-комнатная, улица Енисейская 7/1;13 500 000 руб;189 873 руб/кв.м;Вторая речка, застройщик, 71,1 кв. м., 9/25 этаж;2262
1-комнатная, улица Енисейская 7/1;6 791 500 руб;235 000 руб/кв.м;Вторая речка, застройщик, 28,9 кв. м., 5/16 этаж Сдача в III кв. 2026;1713
Студия, улица Енисейская 7/1;6 791 500 руб;235 000 руб/кв.м;Вторая речка, застройщик, 28,9 кв. м., 13/22 этаж Сдача в III кв. 2026;2154
2-комнатная, улица Енисейская 7/1;9 312 000 руб;199 828 руб/кв.м;Вторая речка, застройщик, 46,6 кв. м., 4/16 этаж Сдача в III кв. 2026;2765
3-комнатная, улица Расула Гамзатова 5 кор. 3;12 356 760 руб;158 420 руб/кв.м;64, 71 микрорайоны, застройщик, 78 кв. м., 5/14 этаж;935
1-комнатная, улица Расула Гамзатова 5 кор. 2/1;5 528 200 руб;231 305 руб/кв.м;64, 71 микрорайоны, застройщик, 23,9 кв. м., 18/24 этаж;2031
