price,square,rooms,location,description
7 213 572₽,,,,
181 246₽/кв.м,181 246₽/кв.м,,,
,,"1-комнатная, улица Нейбута 137 стр. 3","1-комнатная, улица Нейбута 137 стр. 3",
,,,,"64, 71 микрорайоны, частное лицо, 39,8 кв. м."
57 500 000₽,,,,
450 627₽/кв.м,450 627₽/кв.м,,,
,,"2-комнатная, улица Металлистов 5","2-комнатная, улица Металлистов 5","2-комнатная, улица Металлистов 5"
7 950 000₽,,,,
225 852₽/кв.м,225 852₽/кв.м,,,
,,"1-комнатная, улица Славянская 19","1-комнатная, улица Славянская 19","1-комнатная, улица Славянская 19"
51 000 000₽,,,,
235 023₽/кв.м,235 023₽/кв.м,,,
,,"5-комнатная, улица Четвертая 6б","5-комнатная, улица Четвертая 6б",
9 500 000₽,,,,
318 792₽/кв.м,318 792₽/кв.м,,,
,,"1-комнатная, улица Бестужева 23","1-комнатная, улица Бестужева 23",
11 000 000₽,,,,
205 993₽/кв.м,205 993₽/кв.м,,,
,,"2-комнатная, улица Днепропетровская 18","2-комнатная, улица Днепропетровская 18","2-комнатная, улица Днепропетровская 18"
3 700 000₽,,,,
151 020₽/кв.м,151 020₽/кв.м,,,
30 000₽,,,,
,,,"Гостинка, улица Котельникова 17","Гостинка, улица Котельникова 17"
,,,,проверенное агентство
4 300 000₽,,,,
162 264₽/кв.м,162 264₽/кв.м,,,
30 000₽,,,,
,,,"Гостинка, улица Котельникова 17","Гостинка, улица Котельникова 17"
,,,,проверенное агентство
4 500 000₽,,,,
164 234₽/кв.м,164 234₽/кв.м,,,
30 000₽,,,,
,,"1-комнатная, улица Котельникова 17","1-комнатная, улица Котельникова 17","1-комнатная, улица Котельникова 17"
,,,,проверенное агентство
5 150 000₽,,,,
181 338₽/кв.м,181 338₽/кв.м,,,
50 000₽,,,,
,,"1-комнатная, улица Русская 61","1-комнатная, улица Русская 61",
,,,,проверенное агентство
11 100 000₽,,,,
155 028₽/кв.м,155 028₽/кв.м,,,
,,"3-комнатная, улица Ладыгина 19","3-комнатная, улица Ладыгина 19",
,,,,"64, 71 микрорайоны, частное лицо, 71,6 кв. м., 2/16 этаж"
23 700 000₽,,,,
219 444₽/кв.м,219 444₽/кв.м,,,
,,"3-комнатная, улица Авроровская 17","3-комнатная, улица Авроровская 17","3-комнатная, улица Авроровская 17"
,,,,проверенное агентство
12 100 000₽,,,,
139 080₽/кв.м,139 080₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, улица Шошина 9","3-комнатная, улица Шошина 9",
,,,,проверенное агентство
9 990 000₽,,,,
221 508₽/кв.м,221 508₽/кв.м,,,
100 000₽,,,,
,,"1-комнатная, улица Маковского 55 кор. 2","1-комнатная, улица Маковского 55 кор. 2","1-комнатная, улица Маковского 55 кор. 2"
,,,,проверенное агентство
6 500 000₽,,,,
270 833₽/кв.м,270 833₽/кв.м,,,
100 000₽,,,,
,,,"Студия, улица Стрелковая 18 кор. 1","Студия, улица Стрелковая 18 кор. 1"
,,,,проверенное агентство
7 300 000₽,,,,
148 374₽/кв.м,148 374₽/кв.м,,,
100 000₽,,,,
,,"2-комнатная, улица Зои Космодемьянской 27","2-комнатная, улица Зои Космодемьянской 27","2-комнатная, улица Зои Космодемьянской 27"
,,,,проверенное агентство
11 000 000₽,,,,
183 639₽/кв.м,183 639₽/кв.м,,,
50 000₽,,,,
,,"2-комнатная, улица Ватутина 4д","2-комнатная, улица Ватутина 4д",
,,,,"64, 71 микрорайоны, агентство, 59,9 кв. м., 8/18 этаж"
7 260 000₽,,,,
123 051₽/кв.м,123 051₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, улица Русская 58а","3-комнатная, улица Русская 58а",
,,,,проверенное агентство
5 100 000₽,,,,
154 545₽/кв.м,154 545₽/кв.м,,,
,,"1-комнатная, улица Кирова 11","1-комнатная, улица Кирова 11",
11 600 000₽,,,,
160 888₽/кв.м,160 888₽/кв.м,,,
150 000₽,,,,
,,"3-комнатная, улица Русская 78","3-комнатная, улица Русская 78",
8 150 000₽,,,,
159 180₽/кв.м,159 180₽/кв.м,,,
,,"2-комнатная, проспект Красного Знамени 121","2-комнатная, проспект Красного Знамени 121",
,,,,проверенное агентство
5 800 000₽,,,,
116 700₽/кв.м,116 700₽/кв.м,,,
,,"2-комнатная, улица Гризодубовой 61","2-комнатная, улица Гризодубовой 61","2-комнатная, улица Гризодубовой 61"
,,,,проверенное агентство
11 450 000₽,,,,
159 028₽/кв.м,159 028₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, улица Расула Гамзатова 1","3-комнатная, улица Расула Гамзатова 1",
,,,,"64, 71 микрорайоны, агентство, 72 кв. м., 7/17 этаж"
,,,,проверенное агентство
8 800 000₽,,,,
154 386₽/кв.м,154 386₽/кв.м,,,
100 000₽,,,,
,,"2-комнатная, улица Расула Гамзатова 1","2-комнатная, улица Расула Гамзатова 1",
,,,,"64, 71 микрорайоны, агентство, 57 кв. м., 2/17 этаж"
,,,,проверенное агентство
40 500 000₽,,,,
517 903₽/кв.м,517 903₽/кв.м,,,
,,"3-комнатная, улица Володарского 27","3-комнатная, улица Володарского 27","3-комнатная, улица Володарского 27"
7 200 000₽,,,,
105 417₽/кв.м,105 417₽/кв.м,,,
,,"3-комнатная, улица Окатовая 17а","3-комнатная, улица Окатовая 17а",
,,,,проверенное агентство
14 000 000₽,,,,
245 614₽/кв.м,245 614₽/кв.м,,,
50 000₽,,,,
,,"3-комнатная, улица Североморская 4","3-комнатная, улица Североморская 4","3-комнатная, улица Североморская 4"
8 500 000₽,,,,
127 820₽/кв.м,127 820₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, улица Нейбута 17","3-комнатная, улица Нейбута 17",
,,,,"64, 71 микрорайоны, агентство, 66,5 кв. м., 2/9 этаж"
,,,,проверенное агентство
6 100 000₽,,,,
144 893₽/кв.м,144 893₽/кв.м,,,
,,"2-комнатная, улица Интернациональная 53","2-комнатная, улица Интернациональная 53","2-комнатная, улица Интернациональная 53"
24 700 000₽,,,,
185 296₽/кв.м,185 296₽/кв.м,,,
100 000₽,,,,
,,"2-комнатная, улица Четвертая 6д","2-комнатная, улица Четвертая 6д",
17 000 000₽,,,,
165 692₽/кв.м,165 692₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, улица Каплунова 6","3-комнатная, улица Каплунова 6",
,,,,проверенное агентство
7 000 000₽,,,,
4 679₽/кв.м,4 679₽/кв.м,,,
,,"1-комнатная, улица Рейдовая 52","1-комнатная, улица Рейдовая 52",
,,,,проверенное агентство
7 200 000₽,,,,
142 857₽/кв.м,142 857₽/кв.м,,,
,,"2-комнатная, улица Поселковая 2-я 34","2-комнатная, улица Поселковая 2-я 34","2-комнатная, улица Поселковая 2-я 34"
10 750 000₽,,,,
198 706₽/кв.м,198 706₽/кв.м,,,
,,"2-комнатная, улица Адмирала Горшкова 8","2-комнатная, улица Адмирала Горшкова 8",
,,,,проверенное агентство
9 100 000₽,,,,
232 737₽/кв.м,232 737₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, улица Баляева 49","3-комнатная, улица Баляева 49",
,,,,проверенное агентство
20 800 000₽,,,,
261 965₽/кв.м,261 965₽/кв.м,,,
200 000₽,,,,
,,"3-комнатная, улица Круговая 2-я 14","3-комнатная, улица Круговая 2-я 14",
,,,,"Некрасовская, агентство, 79,4 кв. м., 14/24 этаж"
,,,,проверенное агентство
7 750 000₽,,,,
121 094₽/кв.м,121 094₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, проспект 100-летия Владивостока 145","3-комнатная, проспект 100-летия Владивостока 145","3-комнатная, проспект 100-летия Владивостока 145"
,,,,проверенное агентство
13 500 000₽,,,,
225 753₽/кв.м,225 753₽/кв.м,,,
110 000₽,,,,
,,"2-комнатная, улица Чехова 18","2-комнатная, улица Чехова 18",
,,,,"Некрасовская, агентство, 59,8 кв. м., 14/19 этаж"
7 600 000₽,,,,
228 228₽/кв.м,228 228₽/кв.м,,,
110 000₽,,,,
,,"1-комнатная, улица Чехова 18","1-комнатная, улица Чехова 18",
,,,,"Некрасовская, агентство, 33,3 кв. м., 9/19 этаж"
7 800 000₽,,,,
232 143₽/кв.м,232 143₽/кв.м,,,
110 000₽,,,,
,,"1-комнатная, улица Чехова 18","1-комнатная, улица Чехова 18",
,,,,"Некрасовская, агентство, 33,6 кв. м., 9/19 этаж"
9 200 000₽,,,,
232 323₽/кв.м,232 323₽/кв.м,,,
110 000₽,,,,
,,"1-комнатная, улица Чехова 18","1-комнатная, улица Чехова 18",
,,,,"Некрасовская, агентство, 39,6 кв. м., 6/19 этаж"
4 800 000₽,,,,
110 345₽/кв.м,110 345₽/кв.м,,,
100 000₽,,,,
,,"2-комнатная, улица Строительная 3-я 9","2-комнатная, улица Строительная 3-я 9","2-комнатная, улица Строительная 3-я 9"
,,,,проверенное агентство
4 300 000₽,,,,
207 729₽/кв.м,207 729₽/кв.м,,,
50 000₽,,,,
,,"1-комнатная, проспект Народный 27","1-комнатная, проспект Народный 27",
,,,,"Некрасовская, агентство, 20,7 кв. м., 8/9 этаж"
,,,,проверенное агентство
25 000 000₽,,,,
160 875₽/кв.м,160 875₽/кв.м,,,
,,"4-комнатная, улица Давыдова 7","4-комнатная, улица Давыдова 7",
7 999 000₽,,,,
135 576₽/кв.м,135 576₽/кв.м,,,
100 000₽,,,,
,,"3-комнатная, улица Нерчинская 54","3-комнатная, улица Нерчинская 54","3-комнатная, улица Нерчинская 54"
,,,,проверенное агентство
22 000 000₽,,,,
314 286₽/кв.м,314 286₽/кв.м,,,
85 000₽,,,,
,,"3-комнатная, улица Жигура 12а","3-комнатная, улица Жигура 12а",
,,,,проверенное агентство
14 000 000₽,,,,
341 463₽/кв.м,341 463₽/кв.м,,,
,,"2-комнатная, улица Семеновская 25а","2-комнатная, улица Семеновская 25а","2-комнатная, улица Семеновская 25а"
8 500 000₽,,,,
158 582₽/кв.м,158 582₽/кв.м,,,
110 000₽,,,,
,,"2-комнатная, улица Русская 57г","2-комнатная, улица Русская 57г",
8 300 000₽,,,,
131 955₽/кв.м,131 955₽/кв.м,,,
150 000₽,,,,
,,"3-комнатная, улица Могилевская 3","3-комнатная, улица Могилевская 3","3-комнатная, улица Могилевская 3"
,,,,проверенное агентство
7 900 000₽,,,,
136 915₽/кв.м,136 915₽/кв.м,,,
,,"2-комнатная, улица Мусоргского 13д","2-комнатная, улица Мусоргского 13д","2-комнатная, улица Мусоргского 13д"
,,,,проверенное агентство
